line,class
  # Binding health checks to a different port,0
  port: 8081,0
,0
# Disable all management endpoints except but health checks,0
endpoints:,0
  enabled: false,0
  health:,0
    enabled: true,0
,0
mysql:,0
  service:,0
"    # The name of the service hosting the MySQL database server,",0
    # can be customized using the 'MYSQL_SERVICE_NAME' env variable to use a different service,0
    name:     mysql,0
"    # The database to use, can be customized using the 'MYSQL_SERVICE_DATABASE' env variable",0
    database: sampledb,0
,0
spring:,0
  # Spring JDBC configuration,0
  datasource:,0
    url:      jdbc:mysql://${${mysql.service.name}.service.host}:${mysql.service.port}/${mysql.service.database},0
    username: 'user',0
    password: 'VCq1018Nto4n0XoP',1
,0
  # Spring Data JPA configuration,0
  jpa:,0
    hibernate:,0
      # To be updated in real production usage!,0
      ddl-auto: create-drop,0
    show-sql: false,0
,0
# The application configuration properties,0
quickstart:,0
  generateOrderPeriod: 10s,0
  processOrderPeriod: 30s,0
"              secret: ""Mkb2LpmYbG1xX8SXbYIlah3v13COZow6""",1
    password: KvyF3MGVzr94wHqVp4qRn2kR2a6ZVUMD,1
    password: ${dbPass},0
    url: jdbc:postgresql://${DB_HOST:127.0.0.1}:${DB_PORT:5432}/${DB_DATABASE:postgres},0
    username: ${DB_USERNAME:postgres},0
    password: ${DB_PASSWORD:password},0
server:,0
  port: 8082,0
,0
kc:,0
  base-url: http://localhost:8080/auth,0
  realm: demo,0
  realm-url: ${kc.base-url}/realms/${kc.realm},0
,0
spring:,0
  security:,0
    oauth2:,0
      client:,0
        registration:,0
          demo:,0
            client-id: app-demo,0
            client-name: Demo App,0
            client-secret: e3f519b4-0272-4261-9912-8b7453ac4ecd,1
            provider: keycloak,0
            authorization-grant-type: authorization_code,0
"            scope: openid, profile",0
"            redirect-uri-template: ""{baseUrl}/login/oauth2/code/{registrationId}""",0
        provider:,0
          keycloak:,0
            authorization-uri: ${kc.realm-url}/protocol/openid-connect/auth,0
            jwk-set-uri: ${kc.realm-url}/protocol/openid-connect/certs,0
            token-uri: ${kc.realm-url}/protocol/openid-connect/token,0
# would be cool if there was a end-session-uri to propagate logouts ,0
,0
#  User info endpoint not needed since Keycloak uses self-contained value tokens,0
#            user-info-uri: ${kc.realm-url}/protocol/openid-connect/userinfo,0
            user-name-attribute: preferred_username,0
    password: 'KA8H0l35ORnnOGjd6alrtc19EhG6Cz9C',1
    password: '1nEYjjZU2vZH8MUgkMh7pUABevVD3J1y',1
    password: 'dPn1VkEeK7WFWm9NdsljmeRcs6KGjM4T',1
    password: '0j2ns75w0tzZXnIUEyFD8LI0XUM2erT7',1
    password: 'jLk9kDPZldV5I3xhPF3qxyH4p5zhKnXc',1
    password: 'h39U3PeCXium3lYJ8VCOBkpeNfcjQY6J',1
    password: 'o84NR1WoM0AXVWBigDUR0j6UweZ5V5uR',1
    password: 'H0RYKjAGU67OAufSBJ8WWWOrbVzs3RiS',1
    password: '2I0BYjO8flSm1b52X78GNgBrFEmjWnO0',1
    password: 've6gxCijHj4XXLF9P5w76Blrh9nqv40r',1
    password: 'bfh75lHmpXOr0QL0lvtaqAVDGQwwAjUH',1
    password: 'aOJP3hi6Nip1F1lBB55gI7CS1HBzCFOI',1
    password: 'ZOHzAk7tDqNgTrW38LYe5Ieq6qPnYseh',1
    password: 'u4aHRv8bFmAk9IG6DqBBqpZ0EOhoq4fx',1
